#Dimension runtime residual
100 41.946999999999996 1.85243506726e-15
300 421.21999999999997 1.72600642949e-14
500 1251.866 8.12999625576e-15
700 2619.529 1.77148183972e-14
900 4603.637 2.60885321997e-14
1100 7349.668000000001 1.55410767995e-13
1200 9411.211 2.82350483789e-14
1400 13450.535 3.22269496107e-12
1600 18407.236 9.84587246338e-14
1800 24499.130999999998 2.26589084833e-13
2000 31646.256999999998 1.97628099006e-13
2500 54640.324 1.32535604191e-12
3000 86427.843 1.24129867439e-13
3500 128890.04800000001 1.12872054307e-13
4000 183631.40000000002 4.91118887107e-13
4500 251329.159 1.29417442984e-12
5000 336386.20900000003 1.28296855005e-13
