#Dimension runtime fwd_error residual
100 483.706 8.19677659080753e-15 8.639603317151209e-17 
200 0.0 1.668831739465304e-14 8.472769191238344e-17 
300 0.0 2.6026588291946004e-14 1.0222443635145174e-16 
400 0.0 3.5052794000733913e-14 1.1096132461992536e-16 
500 0.0 5.3548054879115623e-14 1.2504070896799513e-16 
600 0.0 6.271631362390432e-14 1.2141039918937434e-16 
700 0.0 8.235761279300797e-14 1.2760880698054723e-16 
800 0.0 9.789294375117663e-14 1.3385379592136252e-16 
900 0.0 1.2487529528944681e-13 1.3974634312945538e-16 
1000 0.0 1.3699930079269507e-13 1.4989144372181698e-16 
