#Dimension runtime fwd_error residual
100 204.453 1.3058443215641092e-14 1.91432484604133e-16 
200 0.0 3.6480818366158016e-14 2.3186406338567716e-16 
300 0.0 7.003397861637949e-14 2.790589801712862e-16 
400 0.998 1.0343725875827658e-13 3.3111677066581984e-16 
500 0.0 1.3482770455652827e-13 3.5769201363651524e-16 
600 0.0 2.1163700421785355e-13 4.499150197925645e-16 
700 0.0 2.624118382905343e-13 4.3692512826045464e-16 
800 0.0 3.3079372574462696e-13 4.552528165169407e-16 
900 0.9990000000000001 4.2086914200625517e-13 5.456047215083011e-16 
1000 0.998 4.782867435437766e-13 5.553633084525338e-16 
