#Dimension runtime residual
100 93.57799999999999 2.79435319754e-16
300 442.42199999999997 4.38392667282e-16
500 1304.3880000000001 5.73165766404e-16
700 2720.136 6.7807813235e-16
900 4782.913 7.61053243292e-16
1100 7680.217 8.69414600226e-16
1200 9527.555 8.96981399216e-16
1400 13683.715 9.73479128711e-16
1600 18649.938 1.05766061534e-15
1800 24670.069000000003 1.13896185089e-15
2000 32159.953 1.19877010464e-15
2500 55657.468 1.35466806311e-15
3000 88413.07999999999 1.49224230703e-15
3500 130647.88799999999 1.64923036879e-15
4000 186244.109 1.79951499072e-15
4500 254839.341 1.89492636085e-15
5000 338895.019 2.01602593189e-15
