#Dimension runtime residual
100 0.669 2.01647652416158e-15 
200 0.0 5.895677592945398e-15 
300 0.0 3.382721553601239e-15 
400 15.620999999999999 1.426163885104939e-13 
500 31.241 5.15414050827971e-14 
600 16.676 7.492148954770218e-13 
700 31.241 7.882840262146062e-14 
800 62.483999999999995 2.2753906118636992e-14 
900 93.727 8.229941450311872e-14 
1000 137.07 3.58755541980602e-14 
1100 249.941 4.5050946330156407e-13 
1200 219.988 7.622665210216342e-14 
1300 296.80400000000003 2.7675420310884727e-13 
1400 798.895 1.2912020394363216e-13 
1500 666.648 1.3812621012136637e-13 
2000 1345.477 5.6022027724756173e-14 
2500 2931.024 9.734977008414604e-11 
3000 5006.298 1.648999599429995e-13 
3500 8078.844 2.174056322875251e-13 
4000 12249.648000000001 1.1162341225326593e-12 
4500 17579.886 2.7032109603377265e-13 
5000 24152.929 7.3426224781687e-13 
6000 42001.703 2.4858530202684046e-12 
7000 66808.093 2.819271746138149e-12 
8000 101514.076 8.902999631654202e-13 
9000 142024.97199999998 2.0504941250637567e-11 
10000 194438.952 7.522383309064051e-12 
