#Block_Size Dimension runtime residual
62 100 48.868 1.636275852630722e-14 
62 200 76.306 6.592981212229907e-14 
62 300 173.564 5.609698234233987e-12 
62 400 308.176 1.120377847512362e-12 
62 500 470.74 2.4874992525249587e-12 
62 600 691.9689999999999 3.8397638370279764e-13 
62 700 910.813 3.366790882081205e-13 
62 800 1195.838 2.0922529211322898e-13 
62 900 1515.997 2.969062001325908e-12 
62 1000 1873.06 2.0533813884856503e-13 
62 1100 2315.149 5.313496856482918e-13 
62 1200 2721.833 5.020786467282378e-13 
62 1300 3233.812 1.4821946801915071e-12 
62 1400 3858.775 1.6734049966422486e-13 
62 1500 4346.054999999999 3.7416102859949403e-13 
