#Block_Size Dimension runtime residual
200 189.182 8.21921034216e-14             25
300 380.257 1.29063412216e-13             25
400 692.3040000000001 4.08753266889e-13   25
500 1083.5140000000001 2.73736976094e-13  25
600 1573.8700000000001 5.14917855018e-13  25
700 2167.1800000000003 5.2038423408e-13   25
800 2867.536 1.59125897199e-12            25
900 3686.886 1.49483718373e-13            25
1000 4597.829 5.70687817788e-11           25
1100 5649.467 6.41705630189e-14           25
1200 6797.204 2.15728638206e-13           25
1300 8065.5599999999995 5.6200337613e-12  25
1400 9459.197 1.26064379953e-12           25
1500 10959.139000000001 1.23621885046e-12 25
1600 12637.612000000001 2.97538914464e-13 25
1700 14442.526000000002 1.33955559861e-12 25
1800 16419.459 4.61661343561e-13          25
1900 18482.648999999998 4.58067616421e-12 25
100 44.607 1.30295823493e-12 50
300 391.589 1.78223349095e-13 50   
100 44.607 1.30295823493e-12 50
300 391.589 1.78223349095e-13 50
500 1125.075 4.77539687019e-13 50
700 2241.0040000000004 1.32133003813e-11 50
900 3800.2419999999997 7.09234986909e-12 50
1100 5779.709000000001 6.19696691553e-13 50
1200 6904.403 7.64600099159e-13 50
1400 9634.474 2.32377971227e-12 50
1600 12853.877 1.36347720616e-11 50
1800 16722.189 3.87781637722e-13 50
100 78.112 5.16695126354e-16 100
300 394.403 1.74681638434e-13 100
500 1116.264 4.40307754625e-12 100
700 2232.817 1.06919802714e-12 100
900 3795.448 1.55190360206e-12 100
1100 5857.941000000001 1.46092085971e-12 100
1200 7120.447999999999 7.2232283519e-13 100
1400 9943.776 4.36827608268e-11 100
1600 13053.721 1.25940175619e-12 100
1800 16665.974 2.96708905008e-12 100
100 185.887 1.20538053415e-14 150
300 428.856 8.65384417006e-13 150
500 1196.473 1.60047932699e-12 150
700 2385.529 6.1928574568e-11 150
900 4027.8650000000002 7.93612585177e-12 150
1100 6129.938 1.1480585692e-11 150                                                                                      1200 7362.987 9.63595097112e-11 150
1400 10215.503999999999 1.70434185836e-12 150
1600 13512.318000000001 8.72738839878e-12 150
1800 17393.193 6.0278644725e-12 150
100 47.783 6.79218156079e-16 200
300 473.08299999999997 4.04437646766e-13 200
500 1328.511 2.792580784e-12 200
700 2612.964 4.34886913045e-11 200
900 4301.295999999999 9.68238509222e-12 200
1100 6424.757 3.20763797305e-12 200
1200 7496.9580000000005 1.07391710272e-11 200
1400 10470.044 7.22688468648e-12 200
1600 13816.249 1.20289471873e-10 200
1800 17948.618 2.59178713553e-11 200
100 43.882999999999996 7.04654614523e-15 10
300 391.931 2.79566219033e-14 10
500 1114.029 2.04540897812e-13 10
700 2265.4230000000002 3.61326874098e-14 10
900 3888.2279999999996 4.23826219197e-14 10
1100 6026.13 1.6109760361e-13 10
1200 7297.362 2.88954984321e-13 10
1400 10233.133 1.16304390356e-13 10
1600 13842.484 8.14749944704e-13 10
1800 18076.037 1.35778984708e-13 10
100 45.855 5.40430999505e-14 75
300 394.993 1.00005765493e-13 75
500 1128.5179999999998 3.81630874478e-13 75
700 2251.89 5.20987509319e-13 75
900 3817.967 1.34682564167e-12 75
1100 5786.152999999999 4.73148583527e-12 75
1200 6959.207 3.17473940982e-13 75
1400 9679.024 2.02184908853e-11 75
1600 13003.134 1.22817286123e-12 75
1800 16728.025999999998 2.2735384525e-12 75
#1500 11288.081 3.61509252558e-13 20                                                                                    1500 11027.66 8.43880044156e-13 30
#1500 10923.955 3.5640822471e-12 40
#1500 10912.252 2.24686331937e-10 50
#1500 10869.273 6.96670122562e-13 60
#1500 10978.571 1.67688481602e-12 70
#1500 10966.802 2.71176809217e-12 80
#1500 10977.067 2.83370080445e-12 90
1500 11764.167000000001 1.86235252622e-13 20
1500 11527.1 3.45521495202e-12 25
1500 11440.13 4.39240879306e-13 30
1500 11430.884 1.32294372259e-12 35
1500 11334.767 7.57815706722e-13 40
1500 11334.27 2.94733032887e-12 45
#1500 11291.109 8.34294705143e-13 50
#1500 11288.578 2.11710154086e-12 55
#1500 11317.658 5.71631334129e-13 60
#1500 11348.506000000001 1.11665219777e-10 65
#1500 11347.815 1.53420175995e-11 70
#1500 11334.823999999999 1.03825921827e-12 75
#1500 11314.148 4.61199161073e-13 80
#1500 11368.19 7.79215211043e-12 85
1500 11333.753 3.29569762115e-12 90
1500 11356.793 1.34155210433e-12 95
1500 11346.402 3.38771595696e-12 100
1500 11407.073 1.09110059973e-11 105
1500 11144.992 8.35823699228e-12 50
1500 11095.027999999998 4.75339045637e-12 51
1500 11123.995 9.91390507213e-13 52
1500 11093.387999999999 4.45773590632e-13 53
1500 11112.068000000001 1.16775462379e-12 54
1500 11080.218 8.85325191105e-13 55
1500 11084.281 2.5250545096e-12 56
1500 11096.704000000002 5.84046855523e-13 57
1500 11079.534000000001 1.95997722436e-12 58
1500 11042.279 3.56232708689e-13 59
1500 11070.657000000001 1.49335498941e-12 60
1500 11031.303 1.29235666039e-12 61
