#Dimension runtime residual
100 0.634 2.582208003801217e-16 
200 0.620999999999999 3.7053116924372113e-16 
300 0.0 4.1432260997656336e-16 
400 16.7 4.501704143114138e-16 
500 31.243 4.752497124064453e-16 
600 31.241999999999997 4.800999222392692e-16 
700 46.864000000000004 4.914136684334705e-16 
800 78.106 4.977309592295799e-16 
900 121.516 5.111500889270921e-16 
1000 124.97 5.443719012895178e-16 
1100 187.45600000000002 5.478667825033523e-16 
1200 235.843 5.529294909841973e-16 
1300 329.762 5.723429515511332e-16 
1400 407.70099999999996 5.724802303795052e-16 
1500 549.403 5.875962143202966e-16 
2000 1376.702 6.587973365453266e-16 
2500 2994.4959999999996 8.310781514340857e-16 
3000 5197.529 7.869345138588966e-16 
3500 8452.894 8.650521121370748e-16 
4000 12520.574 1.1179381650021403e-15 
4500 17925.117 1.0145594860424213e-15 
5000 24635.439000000002 1.1033186605339713e-15 
6000 42611.877 1.234593383571918e-15 
7000 67707.729 1.872357306195293e-15 
8000 100929.928 1.56493158466665e-15 
9000 145017.571 2.237603544777417e-15 
10000 196883.289 1.849744813481458e-15 
