#Dimension runtime bwd_error residual
100 7.67 1.4698242623e-14 7.03685140942e-17
200 13.873 3.80240283704e-14 7.4470314947e-17
300 30.918 8.04512012564e-14 7.07754537977e-17
400 55.585 1.42740264053e-13 7.03488268589e-17
500 87.30300000000001 2.06076711251e-13 6.77800773761e-17
600 124.71300000000001 2.42962872044e-13 6.83652242606e-17
700 170.04 3.24477587656e-13 6.19520677803e-17
800 221.924 4.06135541864e-13 6.77011227953e-17
900 280.74 4.74949339117e-13 7.28927206511e-17
1000 348.022 6.08659345147e-13 6.85955294817e-17
1100 418.88199999999995 6.93736078684e-13 7.11147028104e-17
1200 503.29999999999995 8.36335907935e-13 6.46733696311e-17
1300 587.222 9.83422744947e-13 7.03466680373e-17
1400 680.0749999999999 1.10569783488e-12 6.59654888678e-17
1500 785.54 1.19785581454e-12 6.54565882336e-17
1600 889.423 1.289224838e-12 7.14375443593e-17
1700 1003.8370000000001 1.52168042872e-12 6.57629608368e-17
1800 1125.7930000000001 1.64447264448e-12 6.95824575354e-17
1900 1249.906 1.93527252703e-12 6.84276467153e-17
2000 1390.185 2.30652830169e-12 7.50397905294e-17
2100 1613.3169999999998 2.3117896486e-12 7.13960956704e-17
2200 1679.5439999999999 2.83104686159e-12 6.80514941993e-17
2300 1830.6070000000002 2.97927682524e-12 6.96621653389e-17
2400 1995.317 3.24007140562e-12 7.11225718824e-17
2500 2276.157 3.69931387745e-12 7.03738827323e-17
2600 2338.723 3.70826967424e-12 7.19332545837e-17
2700 2530.1 4.46074535334e-12 6.68054561346e-17
2800 2741.689 4.5577119063e-12 6.93258555215e-17
2900 2918.597 5.12004400563e-12 6.67964838438e-17
3000 3283.3929999999996 5.20419033793e-12 6.80274713164e-17
3100 3327.0339999999997 5.34765411165e-12 6.70981071373e-17
3200 3541.655 6.67904606622e-12 6.91468258084e-17
3300 3769.655 7.10882426998e-12 7.26716157451e-17
3400 4030.0589999999997 7.38799172166e-12 7.18382905324e-17
3500 4324.268 8.36188975205e-12 6.66042649586e-17
3600 4507.12 8.94974455656e-12 7.48131149656e-17
3700 4746.465 9.04555100492e-12 6.88010403669e-17
3800 5014.805 1.17637934773e-11 6.92048352884e-17
3900 5305.398 1.19513254848e-11 7.03100077136e-17
4000 5583.6050000000005 1.20180781715e-11 7.07014398812e-17
4100 5841.695 1.29758939366e-11 7.20878146259e-17
4200 6123.589 1.29205576132e-11 6.99593153137e-17
4300 6436.541 1.68165606763e-11 6.96630635551e-17
4400 6718.530000000001 1.81259620192e-11 7.11175969803e-17
4500 7037.596 1.72833722889e-11 6.85511275778e-17
4600 7335.447 1.89074235254e-11 7.03819627493e-17
4700 8073.572 1.91191251719e-11 6.90056100071e-17
4800 8097.9890000000005 2.29309036574e-11 6.6749536984e-17
4900 8390.696 2.44244476345e-11 6.79344834649e-17
5000 9123.44 2.46492835698e-11 7.02803119403e-17
5000 8695.148 2.37556997185e-11 6.72009322439e-17
5500 10498.262999999999 4.06356441223e-11 6.78983977432e-17
6000 12864.702 5.11673827012e-11 6.83151567468e-17
6500 15419.106 8.98988681104e-11 6.86630163833e-17
7000 17672.006 1.1666148368e-10 6.99673494463e-17
7500 20201.607 1.89694061599e-10 6.99876745713e-17
8000 23370.442 2.89749659377e-10 7.0519329886e-17
8500 26178.264 3.65494084436e-10 7.03465078252e-17
9000 29656.251999999997 6.2783648004e-10 6.98123216411e-17
9500 32452.481 8.15332788676e-10 6.87625573305e-17
10000 36174.634 1.38938974831e-09 6.72183712243e-17
10500 39828.185 2.24980986668e-09 6.83266327729e-17
