#Dimension runtime fwd_error residual
100 3.7 1.99984473426e-14 0.0
200 13.488999999999999 5.19140286315e-14 0.0
300 29.981 9.79113086904e-14 0.0
400 53.363 1.46436196502e-13 0.0
500 83.44500000000001 2.17333484542e-13 0.0
600 121.14 2.88989202938e-13 0.0
700 162.449 3.4617245578e-13 0.0
800 214.91199999999998 4.41651160088e-13 0.0
900 272.814 5.62377058502e-13 0.0
1000 335.59499999999997 6.68428090655e-13 0.0
1100 405.151 7.9501536667e-13 0.0
1200 480.71000000000004 9.70269605401e-13 0.0
1300 569.685 1.05035535825e-12 0.0
1400 659.8870000000001 1.05070388897e-12 0.0
1500 753.023 1.43109353997e-12 0.0
1600 860.092 1.58416689489e-12 0.0
1700 973.176 1.70143487534e-12 0.0
1800 1088.633 1.9383298053e-12 0.0
1900 1233.836 2.08008557747e-12 0.0
2000 1348.039 2.38919628526e-12 0.0
2100 1486.251 2.58074778479e-12 0.0
2200 1630.519 3.20127717264e-12 0.0
2300 1782.0020000000002 3.43858936494e-12 0.0
2400 1941.884 3.52964042253e-12 0.0
2500 2110.453 3.70347721379e-12 0.0
2600 2280.131 4.0966858111e-12 0.0
2700 2461.2349999999997 4.50562895635e-12 0.0
2800 2692.8920000000003 5.02299951632e-12 0.0
2900 2865.185 5.0543801711e-12 0.0
3000 3030.3399999999997 5.96926275076e-12 0.0
3100 3240.25 6.36211563718e-12 0.0
3200 3505.449 7.28240433234e-12 0.0
3300 3697.464 8.22730523439e-12 0.0
3400 3991.756 8.20302701582e-12 0.0
3500 4156.486 8.51664595989e-12 0.0
3600 4385.2609999999995 9.40046796578e-12 0.0
3700 4669.8060000000005 1.04525454958e-11 0.0
3800 4912.5740000000005 1.13372272389e-11 0.0
3900 5180.988 1.16978267244e-11 0.0
4000 5460.793 1.49745376099e-11 0.0
4100 5712.28 1.48782531552e-11 0.0
4200 6026.93 1.56076668256e-11 0.0
4300 6266.63 1.56586846848e-11 0.0
4400 6592.174 1.72621008901e-11 0.0
4500 6854.87 1.8946371262e-11 0.0
4600 7224.280000000001 2.04335481868e-11 0.0
4700 7655.597 2.29061314833e-11 0.0
4800 7829.684 2.31460439935e-11 0.0
4900 8138.562 2.73997034811e-11 0.0
5000 8645.081 2.79196173514e-11 0.0
5000 8637.912999999999 2.80991513835e-11 0.0
5500 10385.206999999999 4.11778823161e-11 0.0
6000 12390.443 7.06335972674e-11 0.0
6500 14342.717 7.67207905752e-11 0.0
7000 16779.664 1.24527528464e-10 0.0
7500 19252.77 1.73879669611e-10 0.0
8000 21997.884 3.17943707501e-10 0.0
8500 24686.28 4.18405719013e-10 0.0
9000 27804.251 5.95436275508e-10 0.0
9500 31117.661 8.4936255076e-10 0.0
10000 34546.537000000004 1.30558565935e-09 0.0
10500 37751.314 1.93046013514e-09 0.0
